x y
94.28444953972382 601.2834607368931
98.77667788906167 602.5666819062238
1394.3087480603015 1492.019541923803
1403.7348718336527 1498.9225408568695
789.7055746240883 705.8665494682054
101.7848865216136 608.7900782872501
794.7250089511814 678.2122854082252
91.24112502957558 588.5246559424991
801.1566810079985 707.2983215473964
802.4910333697504 689.4862337514313
776.336895177171 709.1951225320427
1403.5713507576643 1505.9859667017915
1408.273707020301 1478.9858344352008
803.9147709662748 696.5844462738862
109.43622931704671 612.3211434168685
790.1684018595106 710.693598710031
101.01668041539305 596.2026541802287
1400.7642764192578 1493.287173345189
793.9047145504486 697.336307787844
1378.9982980302325 1515.0881447597997
102.05548455567704 602.626287185754
1393.7993629510524 1513.1673540221727
90.59199028761887 600.7508041355646
1397.8179829549526 1500.6610137512503
98.67562023935164 600.9690219620801
799.1143220747934 695.3282674145958
1395.630400040263 1500.4770084585757
1408.1985676686384 1504.07238788926
107.00367127258721 582.3467099365854
807.3290832612237 698.0631905444275
